adview,views,likes,dislikes,comment,category,days,duration
1,101581,314,11,4,4,1104,47
182,581,7,0,1,4,1777,86
5,1515742,14551,514,5752,2,1004,353
36,11991184,48324,5808,5167,4,1548,2664
3,1275680,4743,932,184,4,1002,275
3,127821,1127,80,466,6,880,711
1,7779,59,0,7,7,896,261
11,415699,251,49,23,4,2399,89
1,162390,1031,34,33,3,1178,1241
7,683587,1172,122,85,4,2020,1180
2,38570,55,6,11,5,2734,663
2,503532,1872,50,85,7,2454,267
1,52039,240,16,145,4,893,602
16,5863262,10238,2541,611,3,1205,167
3,981761,2414,267,217,4,936,257
1,31339,142,11,16,7,3342,165
1,18222,51,6,30,4,1756,258
1,21772,37,3,3,4,1023,8402
4,15345,9,8,0,4,1831,266
1,81993,882,21,227,4,2176,359
3,293365,126,36,7,4,2516,219
1,1939,36,0,16,4,1500,379
1,23692,178,6,19,4,1245,264
2,970875,4982,235,256,7,1391,344
2,11703,217,13,6,7,806,336
1,167645,154,52,81,4,967,54
1,7759,34,4,18,4,1853,796
2,775,7,0,1,4,836,511
69,3423094,1195,624,26,4,2289,163
5,21512,203,12,61,7,2020,569
1,123061,140,42,20,4,801,601
2,25680,20,6,1,1,2290,215
2,635882,1048,126,589,5,1011,417
2,578880,1434,205,173,4,916,508
1,141023,154,44,16,4,1462,275
1,1208415,2082,202,120,4,2950,161
1,5993,11,2,1,5,1174,40
6,1908671,675,448,71,4,816,115
124,609442,6698,349,724,7,1042,251
1,569870,730,63,69,7,2724,250
11,335120,327,125,28,4,840,76
3291,4351,56,1,18,4,626,193
1,424331,166,80,6,4,877,96
1,845994,4212,251,736,5,1242,184
14,921464,430,343,0,4,854,106
19,598434,4851,1170,1243,7,2269,346
4,184429,1136,175,625,2,799,435
1,321059,1373,119,544,4,813,395
1,4609,67,7,60,7,1819,312
10,2911207,18658,384,2599,2,882,449
14,845625,652,197,71,4,882,127
1,6487,23,1,0,4,1828,250
1,3793,2,3,0,5,1823,902
8,599143,1682,119,55,4,2453,573
2,13259,92,10,8,2,1916,491
1,141,0,0,0,4,834,31
2,678578,267,112,0,3,1574,467
37895,63164,60,5,7,4,778,183
4,542073,2043,138,459,4,1414,87
1,525236,7064,95,460,4,898,777
2,11909,40,1,2,5,2561,65
1,279067,1610,203,1823,4,857,1515
2,194540,2106,242,254,2,845,139
1,57917,461,11,10,8,1618,883
1,118990,195,11,14,5,1144,112
1,10168,88,2,11,4,933,326
1,10328,79,14,0,2,1695,261
1,17530,95,5,11,5,806,145
372,40222,60,48,11,4,1209,68
1,236928,281,37,6,4,1016,163
1909,2019,4,0,3,4,669,385
1,610698,10095,183,646,2,1729,317
2,52837,989,15,53,4,765,416
1,113011,158,37,24,4,1193,121
68944,187968,2972,185,564,4,718,340
3,318644,592,118,76,3,2341,691
4,2704332,3772,192,316,7,3460,458
1,5934,27,0,8,4,1863,545
1,54161,219,6,11,7,1976,309
3801,11097,58,3,7,7,1265,227
1,269247,8142,134,744,1,807,2261
2,66892,232,8,125,7,3429,566
20,144107,450,11,36,2,1766,692
1,8413,70,3,1,5,714,61
1,2721169,15452,401,564,7,737,254
1,61779,194,7,33,4,809,751
2633,3698,8,1,0,6,1650,195
1,1717192,6180,176,481,7,904,157
1,817940,3692,74,263,7,1557,345
1,427942,1244,47,114,4,1405,217
2,11304,56,3,8,4,1853,697
12,569363,3253,398,923,4,1175,117
7,755505,1869,515,214,7,1057,2097
2,166099,189,54,20,4,1296,9059
4853,6423,7,2,0,4,1173,129
8,127347,0,0,4,7,648,3259
1,413720,2381,65,489,4,881,319
1,1350,1,0,0,5,1284,6
6,292248,901,42,66,5,1460,179
27,3475658,3593,1168,210,5,1335,3707
2,487233,2645,439,835,6,1308,173
8,162216,1005,25,37,4,901,169
2,2257,2,0,0,4,1881,499
3,849510,8176,1230,2190,4,2527,119
1,44545,62,17,15,4,816,701
2,236444,1037,92,61,7,1332,2747
1,146078,510,31,29,3,1463,3290
1,68763,75,29,1,4,1586,1715
2,2353030,26642,276,4564,2,997,582
1,797173,739,379,67,8,1265,90
1,539,0,0,0,4,1377,122
7,37147,234,9,4,5,852,149
238,1760531,2220,401,151,4,1935,258
1,150554,304,39,47,4,1194,264
4,11678,25,0,1,7,2989,600
3,437404,1081,79,42,4,1818,1845
7,368,0,1,0,4,968,21
1,343728,488,75,74,5,1303,6757
1,11226,34,3,0,5,857,165
2,60994,78,16,12,4,2135,78
1,4834,0,0,0,4,964,8618
21614,36728,768,6,14,4,744,176
7,650504,1667,94,43,4,1805,372
3,770809,582,227,69,4,872,637
2,35171,383,5,60,7,2346,366
5,835520,7128,367,1194,5,848,3230
1,215305,238,53,74,5,1492,252
6,1107051,1421,134,47,4,1831,46
1,881444,0,0,37,8,1307,415
1,92,1,0,0,4,1709,280
22,132515,442,49,146,4,1170,441
1,2631,14,1,3,7,1801,806
8,460207,826,94,24,4,2130,276
1,66676,277,10,18,3,1310,1050
2210,2551,0,0,2,2,2012,76
191,791067,7285,378,799,2,679,413
1,25886,88,5,6,4,1797,362
1,366630,260,142,13,5,1184,114
1,1138910,2919,817,628,4,1758,69
1,1517387,4557,237,407,5,1627,170
9,113411,195,24,34,7,1966,1175
3,49113,587,15,131,4,2021,180
4,929267,349,104,24,5,2857,8582
1,161673,241,12,145,4,4419,184
1,40771,481,13,59,1,736,160
2,95077,249,16,86,4,1719,824
1,1188997,2323,244,1278,8,831,594
1,544614,9149,52,474,6,1017,179
2,555270,971,61,162,1,1607,625
1,127370,106,170,57,7,2280,341
3,769740,1125,301,52,4,1092,9188
1,320097,401,87,26,5,1289,124
471,1017837,47134,286,1785,2,1695,654
1,259096,722,58,47,7,1154,311
1,37708,112,3,5,4,925,96
11,2287062,2088,545,111,5,1564,5266
22,1245266,821,340,0,4,843,85
1,578,0,1,0,4,1848,417
12,3383658,20552,1347,4722,2,952,582
1,122309,485,24,44,1,1429,476
5,165692,93,10,8,4,2587,16
1,35552,103,12,17,4,669,994
4,210091,5475,222,642,6,902,504
1,80852,487,15,67,4,733,177
1,182838,1271,33,101,3,1227,1381
1,174770,47,29,2,4,1840,63
2,61745,360,13,33,7,2300,170
9,173389,190,14,21,4,2249,92
4,213274,1456,117,161,4,813,631
8,6437,8,2,1,4,1695,221
2,451634,4494,452,330,4,1454,273
8,451701,736,113,54,4,2334,4508
1,6370,0,0,0,4,774,201
16,64627,111,5,7,2,1816,162
92782,994350,10883,269,1625,2,807,372
913,73858,1397,16,117,4,953,896
1,475,4,1,0,5,1971,469
1,201567,1820,33,58,4,1312,790
1,7359,25,4,1,7,2334,961
1,4918,4,1,0,4,1017,31
12,2924037,15147,919,1118,4,1323,3296
2,1161919,685,230,59,4,875,875
1,78137,1440,38,300,7,1438,148
4,4159,10,0,2,4,1495,120
1,300603,936,117,836,5,960,677
2,2842181,7122,596,187,7,1051,226
1,15242,31,17,2,7,1887,53
1,115598,90,39,0,4,654,119
2,72040,152,17,17,5,1472,6198
7,3502308,7062,716,219,4,1646,57
1,51841,183,8,24,4,1781,1297
1,522447,14577,449,1243,1,871,1752
8,21650,37,4,3,5,1142,152
11,197430,482,29,31,2,1816,688
18,522846,2606,28,632,7,2967,155
3,6711,31,1,6,7,1934,342
2,314985,1668,206,1099,2,876,667
11,231201,386,50,0,2,1905,519
42,201460,340,26,34,4,2089,226
2,2739797,8869,284,875,7,2002,2516
1,658,3,1,1,5,824,712
4,10911,35,6,3,7,2864,675
1,111503,0,0,19,8,1428,1532
2,1227231,7101,4607,1901,4,907,316
8,1663486,3908,532,235,8,831,275
2,646333,1418,92,38,4,1645,277
1,220033,1025,189,575,2,868,273
4,511438,5855,529,314,4,858,267
1,243009,821,7,85,7,2997,292
1,433724,701,45,10,4,805,603
1,399467,1048,180,145,4,2369,8523
1,72049,1859,31,671,1,820,507
6,261614,121,78,19,4,2293,2377
2,35862,50,2,2,4,1685,1022
4,1114667,525,305,23,4,967,153
14,560652,1016,196,95,4,1874,1360
16,4417750,21212,6067,1527,7,1256,302
2,80668,631,25,76,3,1389,275
1,4852,43,0,33,5,1089,1077
1687,171448,149,4,44,4,863,1164
7,632,4,0,0,4,780,21
10,1341876,2191,105,206,7,2985,202
4,6650767,61792,740,4780,2,1319,345
1,46944,152,27,23,7,1863,5468
3,16230,749,40,195,4,717,428
6,43861,231,5,25,3,1860,240
5,425953,6513,206,1312,6,836,409
1,209081,124,39,6,4,1261,7179
1,3787,132,9,45,2,1931,154
1,715738,4569,138,556,2,1430,214
1,1041,2,1,1,4,708,61
11,1185443,13544,3457,3561,4,846,448
25,787026,1873,308,171,7,2239,1180
1,491738,817,115,76,4,1015,9004
3,87604,125,11,5,4,2532,483
25,143266,320,21,66,1,2035,161
17,2718145,31101,645,5071,2,1030,446
1,73427,1806,7,336,5,902,819
2,30259,454,32,274,4,945,261
2,39803,220,5,8,7,2910,996
7,142533,452,19,27,4,997,730
4,223879,254,25,15,4,2958,547
2,35810,673,5,38,6,1347,651
5,1895040,6084,644,172,4,802,246
1,656479,4473,502,865,2,920,182
1,359093,1431,48,268,1,1604,401
1,312793,1470,83,572,5,963,244
5,4419311,3204,1322,185,8,1231,223
1,19212,104,4,8,2,2201,195
2,1381,32,2,3,7,1451,204
8,138050,443,63,39,7,1671,4629
1,80088,105,5,29,4,1096,542
3,99819,43,13,5,4,897,155
7,627292,2329,230,229,5,971,505
2929,4139,65,0,26,4,617,254
14,899472,7864,122,1337,5,2135,166
1,217276,503,88,121,8,1003,903
16,3949469,25566,1358,4255,7,2454,369
1,8846,137,3,7,3,841,99
1,563,4,0,4,7,1510,555
19,303874,135,43,9,7,1927,983
3,283387,224,27,3,5,1261,1821
11,51384,132,6,12,2,1754,844
8,2462561,1771,664,90,3,893,193
1,15930,7,4,0,5,1796,913
1,3096,69,1,5,4,1112,415
1,21341,422,6,86,7,1766,431
3,371314,2765,198,660,4,1251,217
1,14161,181,2,6,4,840,228
1,42318,113,6,10,4,1115,213
1,38210,43,5,0,4,1913,116
4,1430600,13867,347,741,4,1170,587
1,64466,161,13,23,5,1251,7799
3,63015,363,15,42,5,871,83
1,455101,2260,77,451,1,1184,510
1,129869,787,49,12,7,1341,331
1,43032,79,3,48,1,1131,228
7,1020381,3007,769,2672,4,911,671
1,8682,26,2,2,6,1541,356
2,2708891,127170,2398,852,4,1114,224
1,52198,175,9,4,4,2439,289
1,45163,249,557,901,4,2725,864
1,23062,83,6,5,3,1982,98
19,4033136,14200,307,1390,7,1285,246
2,966367,2077,422,644,8,1944,762
35043,55288,33,1,0,5,1304,22
2,438785,1318,146,46,4,842,159
9,1131602,2170,265,516,4,820,2371
6,950944,5214,925,7084,4,797,629
2620,54590,67,14,11,5,1086,789
1,1136517,1439,176,201,5,1107,35
5408,7315,28,6,3,5,683,16
1,812825,2793,154,319,4,1046,337
1,45518,142,17,18,4,1992,889
1,697859,2924,241,180,6,908,335
1,96884,29,16,1,4,2290,660
2,379724,385,147,18,8,1296,143
5,45331,136,6,16,3,2007,151
2408,5772,76,0,10,7,698,308
1,114537,472,39,118,8,1591,203
8,107491,676,8,37,2,2201,367
1,1039,6,0,4,3,2589,299
2,272078,530,30,26,4,1737,287
2,726,10,0,0,4,899,45
26,616379,3164,49,651,7,2967,203
9,109068,132,18,20,6,1998,571
26,1734941,9246,850,541,4,1658,112
1,566940,548,130,77,4,1331,274
1,908536,753,234,104,4,1382,382
1,726331,587,50,213,2,3997,428
2787,3482,41,0,7,4,619,234
1,1016669,14249,78,881,7,999,120
2,174656,988,116,446,4,821,171
167,271123,660,75,330,4,1092,726
66,251876,324,45,28,4,1914,1483
1,855,0,2,1,4,2111,75
5,852691,1525,242,243,7,1293,325
2,51411,354,30,119,6,821,212
224,5453525,4143,1860,552,4,847,602
138,7247213,65467,1766,4562,4,1777,620
1,262109,3056,95,159,2,628,414
1,7264,24,0,5,7,1011,600
1,177414,114,28,2,3,1574,537
2,115393,459,17,12,3,1213,121
4,191786,112,24,3,4,2195,98
71,279282,657,46,56,4,2357,647
1,180404,53,44,1,8,1642,27
1,1916,6,0,1,5,922,21
2877,5075,26,2,1,7,810,137
2,246120,379,38,0,4,1785,251
1,356,1,0,0,4,2085,299
1,336595,815,52,33,4,1258,77
1087,11294,83,4,8,7,915,3282
1,846245,4090,148,876,4,1480,210
1,1611655,5812,348,651,2,731,1056
2,76430,74,20,6,4,829,73
1,658019,4778,396,313,5,1035,815
3,29417,80,5,178,5,1146,701
1,34962,1241,6,95,4,1047,264
16,427297,854,61,73,4,2265,257
1,466663,749,46,117,4,2543,313
2,252108,208,94,5,4,1003,955
6,222739,2425,137,2076,4,1746,662
20,539381,1682,214,232,7,1739,3029
1,57014,181,5,7,4,1831,269
2,412791,471,89,11,4,1022,38
1,93132,146,12,10,4,3281,595
5684,139842,1662,53,265,6,675,336
1,393228,2040,112,70,4,1239,48
11,1737011,1003,276,43,7,1531,232
1,332533,515,47,99,5,1353,169
2,105699,198,14,20,4,3244,401
31,15014236,18520,3770,1794,4,1528,3640
2,96697,1623,18,44,7,1255,210
1,116320,1114,60,100,5,869,327
9,461810,449,73,13,4,1696,3768
1,29392,26,3,0,7,1543,340
4,493046,120,91,11,4,1207,738
2,2544057,20707,1663,9253,6,1081,1107
3,779007,2804,235,178,4,1024,205
1,1079692,11261,451,975,4,1208,440
8,276336,5635,51,740,2,979,446
5,197169,238,46,46,1,2024,118
1,85982,1231,157,333,4,964,702
10,347821,3127,98,475,2,1345,8
1,292291,390,78,19,4,1607,3720
186,3982304,18428,411,5411,5,1985,203
6,880625,1500,167,47,4,1253,193
1,46609,84,11,1,8,1476,1534
2,36605,667,35,102,6,2154,984
3,656624,853,416,94,5,2630,8407
1,18144,31,4,3,5,2718,640
1,54418,401,21,26,7,2294,247
1,149,1,0,0,4,1016,31
1,23354,28,4,0,4,2332,1337
1,983777,1091,509,162,4,637,4752
3,295391,384,65,41,4,1618,184
1,52504,32,5,0,4,1991,169
1,885,0,0,0,5,1709,1394
1,535,8,0,1,7,856,197
3,153218,46,39,0,5,1836,933
48,59598,125,7,5,7,2346,343
4,1929022,21541,2238,0,6,1212,210
1,270802,1027,111,112,4,1026,320
3,989705,13734,993,1447,5,947,437
1,7422,49,5,4,5,1877,1113
1,77147,348,87,189,3,876,3449
1,49658,20,7,1,4,1065,47
2,269256,366,66,11,4,1696,1065
1,65006,642,20,24,4,876,72
1,60898,161,8,9,4,2047,1243
1,7274,29,7,10,4,1778,60
4642,12346,17,1,0,4,1346,392
1,675863,3208,439,1210,6,1260,194
1,874,2,2,0,4,2054,91
23,268833,491,28,60,4,2608,126
2,5377,13,3,2,6,1929,2125
1,514763,1011,100,119,2,990,966
11,299429,567,75,74,4,1314,2322
2,3464,5,1,0,4,1688,111
1,134606,182,18,13,4,3127,622
2,133875,1029,23,164,4,873,225
5,697712,13022,246,1251,8,823,1815
3,177977,269,57,24,4,1935,1577
4,43365,80,6,15,5,2727,667
1,33976,34,19,0,7,986,136
1,158,20,1,32,6,1084,674
1,867685,263,252,24,4,1813,83
2,37811,549,7,21,5,1254,245
1,250701,1097,212,458,4,4342,459
2,2397044,58311,6017,6144,6,897,352
1,611242,1575,185,160,8,995,3900
6,53465,47,11,6,1,2282,179
1,303980,1273,69,162,4,862,283
1,34267,70,2,5,4,3008,540
1,17792,114,3,25,1,1929,1590
1,205268,197,7,5,4,1591,173
1,6144,18,2,2,4,1834,101
1,763778,594,177,114,4,1198,215
26,1434549,2886,690,255,4,820,622
1,11167,6,0,1,4,919,106
2,1046440,1121,534,39,7,1158,85
722,2190,7,2,0,4,1647,361
2,471095,2446,113,1180,5,929,287
963,1242,3,0,0,4,1360,307
8,183472,588,22,32,4,1790,665
1,863852,1605,216,148,5,1286,183
13,156211,454,15,32,4,1907,1326
4,145843,137,46,6,3,1768,1270
3,1119574,4226,219,338,4,1273,125
1,203019,7859,159,197,4,876,632
1,253295,1473,263,0,4,668,110
1,22265,155,6,12,5,854,626
18,1468281,1953,885,0,4,861,1003
2,900469,1324,96,95,7,2773,220
1,7755,29,22,16,4,2301,331
5,8069,23,2,1,3,2263,139
1,3509,0,0,0,4,1914,103
1,325065,617,80,28,4,1016,980
1,32205,20,4,4,4,2146,81
1,260949,510,137,22,5,1627,199
11,295599,1054,36,90,4,1710,703
11,4354,10,0,1,4,787,619
2,731282,2630,328,149,8,611,380
1,35832,67,10,1,7,860,1466
2,690121,720,128,21,8,816,95
9,846929,649,310,56,4,1858,2233
1,705638,1541,166,127,4,918,606
1,845320,4396,219,202,4,2013,110
2,2899,17,0,1,4,2017,361
3,165294,1057,114,210,6,1231,443
3,70830,165,7,6,7,1709,304
2,22353,23,9,1,3,1741,2925
1,589852,709,77,108,8,855,635
5,498909,1404,102,50,4,2682,388
5,1418331,4156,265,216,5,809,619
19,1224550,600,195,56,7,1199,238
1,715951,2947,106,123,7,1966,196
1,4746,12,3,0,4,641,611
35,6918395,39430,1743,3940,4,841,219
1,43500,407,24,93,7,2104,259
1,13134,32,0,1,4,898,310
1,186889,375,14,10,4,1643,171
1,320,1,0,0,4,2325,31
3,110823,349,50,18,4,1706,30
3,7200,135,11,39,2,1866,291
1,51534,66,8,5,4,1029,8883
6,688600,2492,579,1781,4,1011,676
1,7520,463,4,38,2,1479,107
5682,9029,27,2,0,1,1377,102
1,223,1,0,0,4,814,87
1,163066,828,111,57,7,1256,3688
5,274,8,0,4,4,785,660
32248,38580,52,8,1,4,1178,126
8,1764825,10506,336,1145,4,989,2285
1,98702,260,14,23,4,834,624
3,74087,562,35,31,3,1230,441
1,28484,41,21,32,3,3347,610
1,191275,373,19,4,4,1297,94
3,307992,246,54,19,4,1185,8878
1622,973378,1228,351,135,4,1088,170
1,2828832,43270,3379,3158,6,1946,393
2,196595,504,34,13,7,1387,386
33,1322913,11917,423,1536,6,767,275
27,238667,4669,83,3185,2,717,303
40,1356695,2299,275,106,4,2343,631
1,155267,4882,30,345,3,824,384
1,145761,468,134,464,4,2334,439
1,698,14,0,0,4,701,1801
1,109851,746,69,587,2,833,440
1,109244,1202,21,221,5,808,984
1,208880,681,23,16,4,1590,574
1,51207,22,2,9,4,3694,270
1,11866,43,3,5,8,1172,953
3,766532,2598,345,152,5,884,137
1,1734324,4639,362,230,5,1655,431
1,194432,8829,96,655,4,817,172
1,154563,941,29,37,4,1010,71
1,594050,3945,454,2885,4,684,653
9,217427,230,78,28,4,1870,1679
6,3939971,10556,1053,1194,3,1168,164
6,382394,128,112,5,4,2025,176
1,523776,5714,520,1873,6,855,304
3,7886,140,2,23,6,2143,385
6,2296789,928,567,33,4,1526,127
2,28872,70,4,9,4,2084,2487
1,55247,348,11,9,3,1262,808
1,18066,261,4,28,6,1712,537
1,1113120,4142,368,441,3,1026,99
38,118439,858,38,59,5,868,158
1,984243,1184,205,57,4,669,624
11,35003,293,17,23,6,1364,227
1,897135,4835,473,689,4,1601,195
1,62560,8295,54,4917,4,840,220
1,3908,21,0,5,4,1528,201
2,87301,721,23,173,1,1941,446
7,83361,145,34,15,7,2084,10583
4336,356617,4799,78,886,2,914,241
3,448323,1796,107,116,7,1967,371
2,471104,3233,69,174,7,915,156
1,2276106,0,0,2,4,1306,89
1,129112,477,21,15,8,1128,51
1,31034,624,7,201,5,1987,460
1,37658,15,3,3,1,3151,185
1,486310,1581,106,203,3,1843,543
10,2234219,5156,661,1463,8,1137,149
11169,17645,57,6,3,4,1346,812
524,1589,2,5,5,4,751,133
915,3266806,1279,718,170,4,2153,101
1,521502,1396,173,37,7,1267,1270
324,222781,522,32,24,4,1696,77
1,101835,658,10,34,2,1972,77
2,170319,137,53,21,4,1852,2566
1,466,3,0,0,4,1033,167
1,117138,113,28,6,5,1591,7650
1,193686,1020,22,13,3,1134,109
12,99232,1126,26,178,4,1107,211
2,121255,69,39,0,4,886,1849
1,1046,3,1,0,4,2299,761
1,49694,76,22,6,4,1582,3537
2,100111,272,11,19,4,1674,1307
1,6823,24,1,3,4,1865,546
1,469954,10035,313,8673,4,1074,371
2,459371,2721,45,86,3,1301,90
4,1192302,805,239,272,5,1012,497
6,85922,336,12,182,4,1930,814
3,22960,59,2,5,4,1253,8803
2,977617,13677,933,1021,8,744,1476
1,29615,23,8,4,4,1890,835
1,16019,506,17,348,4,1896,1232
1,93782,236,32,461,4,1019,845
1,2795,12,1,1,4,2054,154
1,33377,80,6,10,4,811,288
3,198886,303,78,25,4,1051,8898
3,726395,906,64,16,4,1762,452
1,21506,47,9,6,4,1709,130
1,21589,118,1,2,4,1781,219
6,958508,3184,205,736,7,926,2908
3,733363,5737,173,304,7,1043,229
1,988463,747,348,174,4,812,4156
2,3007988,0,0,168,4,1606,230
104,642393,896,85,26,4,2217,102
17,1001362,22189,718,10139,4,1033,285
22,3742456,19460,704,1927,7,2555,4379
12,889947,970,240,138,7,1521,8538
20,353475,983,41,36,2,1726,927
3,1149811,1352,572,155,4,1556,512
1,360555,1113,50,17,8,1607,294
170,5967838,2975,1261,126,4,1981,192
1,3071508,26548,423,2809,2,766,543
3,1931585,1368,453,161,4,1457,5620
1,35148,0,0,4,4,822,149
48,670576,6009,422,1231,6,932,287
2,158634,1093,29,95,4,1445,1027
1,1825123,720,282,75,5,3249,178
35,360501,700,42,38,4,2555,411
1,194042,661,62,189,4,1186,407
90,2343661,18499,1086,2898,6,799,214
2,286,4,0,0,6,880,85
1,318993,7215,49,200,3,999,372
1,6020,32,3,15,7,1527,289
3,1335905,1410,174,50,4,1332,60
3,8704,46,2,1,2,2201,95
1,99961,374,26,15,5,694,1505
2,143984,121,30,12,4,872,9052
1,269830,1819,80,112,5,1337,663
7,2012135,11843,1971,4637,3,894,364
1,69345,56,18,1,3,1396,114
2,493805,890,123,139,4,1813,254
2279,2671,5,0,0,7,725,248
1,6818,19,0,1,4,887,121
7,1711,4,0,0,5,977,16
2,203,0,0,0,4,1698,212
1,463,12,0,1,4,618,243
14,110048,182,11,12,4,3029,1109
1,2299,1,1,0,4,808,16
3,504577,3956,129,1483,7,2164,36032
1,109506,108,12,25,7,1037,391
1,149868,32,51,0,5,1770,944
250,1618584,18302,366,3281,2,946,412
107,816,6,0,2,7,1394,245
2,57421,88,8,14,5,2725,640
2,1974,28,1,4,4,715,160
3,3839,60,0,2,6,813,61
2,860,11,0,10,4,1753,273
2,9558,20,6,0,4,1695,952
3,474358,2781,525,1812,4,1814,97
1,132946,1042,23,139,7,1243,2959
2,1434301,8837,1011,895,7,803,3174
1,6234,31,3,1,8,1470,320
3,111523,535,39,44,4,654,104
18,945770,3040,194,142,4,2438,497
1,818181,7827,203,1088,6,903,558
12,612203,5152,458,1339,2,1002,714
3,30900,358,9,8,7,763,323
18,438441,333,134,102,4,2126,2388
28,6083650,18903,2956,1544,4,1031,234
1,3603150,17626,1083,336,7,1436,397
1,72836,202,10,3,3,1224,144
1,17221,57,5,10,7,2089,4274
4,2520823,4855,3180,288,5,657,3306
2,229101,250,80,24,5,1451,8660
1,2431,11,1,0,4,1731,151
1531,224975,1743,392,190,7,637,261
7,953068,458,142,111,8,804,86
2,658257,556,124,53,4,1057,137
5,114396,547,119,66,4,807,322
1,146866,131,19,1,4,903,69
1,38042,33,16,0,4,1622,367
1,76417,151,16,18,7,1654,287
41,1083804,1292,320,59,4,1990,684
1,239,0,0,0,8,1543,1347
1,167475,122,25,28,8,1599,96
1,669,0,0,0,4,2087,80
1,914,7,0,0,4,1893,32
3,2146751,2499,460,196,7,1802,815
1,211679,1342,47,221,6,1121,241
2,662452,5557,73,236,7,1195,429
1,4711588,25274,3654,1962,4,779,124
2,121,3,0,0,4,801,31
35,1224966,1672,148,53,4,1991,179
3,224589,130,24,12,4,842,166
9,147827,57,14,5,4,2308,108
1,176443,1588,25,102,4,1250,484
3,59812,327,12,142,4,1796,1237
4,794566,1848,302,147,4,1305,5571
2,182616,292,10,6,4,1269,36
1,30579,644,5,66,7,1921,248
4329,4837,5,3,1,7,1026,213
3,2333,8,1,1,7,2933,634
1,874141,1659,212,241,4,1245,9948
1,1746080,3448,85,528,7,2119,3529
1,53907,32,27,11,5,1303,5132
35,851767,267,119,11,4,2527,92
2,138971,551,51,47,7,1634,2476
1,58196,127,7,7,7,955,312
10,2392130,26895,431,2832,2,855,405
1,74549,33,3,31,4,3692,596
8,3031333,9357,266,515,7,1194,255
23,140148,494,23,88,3,2740,331
22,275262,1149,18,277,7,2967,130
1,76683,698,56,50,4,1141,2013
1,18007,92,5,10,2,1231,981
2,49248,322,1,7,3,1350,106
100,56402,597,20,40,6,1187,379
23,1914510,2801,498,318,4,1276,7724
4909,810060,2597,124,163,4,2156,53
1,9009,41,4,9,4,2297,796
1,279565,2079,28,59,5,1043,372
3,395461,358,48,35,4,2074,144
3,10544,202,5,43,6,802,277
1,30835,209,5,15,4,1682,233
30,22053,243,12,46,4,858,152
1,1326548,2736,124,205,2,827,413
11,266514,1709,254,965,4,1709,142
1,226147,741,27,33,4,2891,352
1,19901,559,8,22,4,846,636
1,2202,1,1,0,5,2375,563
1,35387,483,47,444,4,638,366
1,253920,670,40,79,1,925,347
2,171764,2611,156,51,4,813,263
2,160562,1885,14,235,6,1010,395
4,1639581,19691,3317,5627,4,829,387
24,6584151,2040,1516,90,4,1242,159
5,1182272,10431,535,346,4,1069,444
4,2740,15,2,1,5,630,28
1,23529,84,2,24,4,2021,210
1,9963,65,2,4,2,1997,185
2,1289482,4051,634,260,8,955,308
1,102180,221,15,15,4,2912,650
1,43808,59,10,21,5,1293,11210
2,289122,734,114,22,4,1971,1129
1,144352,170,8,16,5,1122,97
12,2238459,15128,278,396,7,998,211
